"Magnitude of electric impedance Z(f)"			
"Measured"		"Fitted"	
"Frequency [Hz]"	"[Ohm]"	"Frequency [Hz]"	"[Ohm]"
1.46484	3.11441	1.46484	3.13024
2.92969	3.15083	2.92969	3.13158
4.39453	3.17749	4.39453	3.13371
5.85938	3.16458	5.85938	3.13661
7.32422	3.20097	7.32422	3.14025
8.78906	3.17765	8.78906	3.14463
10.2539	3.21722	10.2539	3.14975
11.7188	3.21579	11.7188	3.1556
13.1836	3.24433	13.1836	3.16218
14.6484	3.24284	14.6484	3.1695
16.1133	3.26058	16.1133	3.17757
17.5781	3.25832	17.5781	3.18639
19.043	3.27785	19.043	3.19597
20.5078	3.29485	20.5078	3.20634
21.9727	3.31083	21.9727	3.21749
23.4375	3.32519	23.4375	3.22946
24.9023	3.35007	24.9023	3.24226
26.3672	3.3541	26.3672	3.25591
27.832	3.37717	27.832	3.27043
29.2969	3.389	29.2969	3.28586
30.7617	3.41038	30.7617	3.30222
32.2266	3.44267	32.2266	3.31954
33.6914	3.46078	33.6914	3.33785
35.1563	3.48263	35.1563	3.35719
36.6211	3.50658	36.6211	3.3776
38.0859	3.52179	38.0859	3.39913
39.5508	3.55293	39.5508	3.4218
41.0156	3.58597	41.0156	3.44568
42.4805	3.60864	42.4805	3.47082
43.9453	3.6365	43.9453	3.49726
45.4102	3.67996	45.4102	3.52508
46.875	3.68335	46.875	3.55432
48.3398	3.72673	48.3398	3.58507
49.8047	3.76771	49.8047	3.61739
51.2695	3.80424	51.2695	3.65137
52.7344	3.84233	52.7344	3.68707
54.1992	3.87311	54.1992	3.72461
55.6641	3.92868	55.6641	3.76406
57.1289	3.96758	57.1289	3.80555
58.5938	4.01557	58.5938	3.84917
60.0586	4.05653	60.0586	3.89504
61.5234	4.10536	61.5234	3.94331
62.9883	4.15366	62.9883	3.9941
64.4531	4.21444	64.4531	4.04757
65.918	4.27026	65.918	4.10387
67.3828	4.33384	67.3828	4.16319
68.8477	4.40694	68.8477	4.22571
70.3125	4.47489	70.3125	4.29163
71.7773	4.53849	71.7773	4.36119
74.707	4.67474	74.707	4.51217
76.1719	4.74675	76.1719	4.59414
77.6367	4.83383	77.6367	4.68084
79.1016	4.93177	79.1016	4.77261
80.5664	5.01337	80.5664	4.86982
83.4961	5.24314	83.4961	5.08224
84.9609	5.34198	84.9609	5.19837
86.4258	5.46697	86.4258	5.32184
89.3555	5.7157	89.3555	5.59319
90.8203	5.85762	90.8203	5.74248
93.75	6.17293	93.75	6.07233
95.2148	6.34366	95.2148	6.2548
98.1445	6.73725	98.1445	6.66047
99.6094	6.951	99.6094	6.88633
102.539	7.42882	102.539	7.39205
104.004	7.70469	104.004	7.67568
106.934	8.30159	106.934	8.31579
109.863	9.08246	109.863	9.07159
112.793	9.87937	112.793	9.97035
114.258	10.3719	114.258	10.4836
117.188	11.434	117.188	11.6615
120.117	12.8412	120.117	13.0751
123.047	14.45	123.047	14.7574
125.977	16.3369	125.977	16.7069
128.906	18.3586	128.906	18.8251
131.836	20.6254	131.836	20.8237
134.766	22.3462	134.766	22.1932
137.695	22.4531	137.695	22.435
142.09	20.8661	142.09	20.6906
145.02	18.8041	145.02	18.8036
147.949	16.4272	147.949	16.871
150.879	14.8378	150.879	15.1147
155.273	12.6094	155.273	12.9351
158.203	11.4005	158.203	11.7658
162.598	10.3104	162.598	10.3539
165.527	9.34903	165.527	9.59341
169.922	8.39795	169.922	8.65839
174.316	7.68587	174.316	7.91225
178.711	7.08268	178.711	7.30728
181.641	6.73065	181.641	6.96524
186.035	6.26881	186.035	6.52513
190.43	5.90723	190.43	6.15551
194.824	5.61726	194.824	5.84181
200.684	5.28733	200.684	5.49199
205.078	5.09168	205.078	5.27056
209.473	4.9176	209.473	5.07744
213.867	4.76338	213.867	4.90793
