"Magnitude of transfer function Hx(f)= X(f)/U(f)"							
"Measured"		"Fitted without creep"		"Fitted"		"Imported"	
"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"
5.85938	0.243509	5.85938	0.174921	5.85938	0.208219		
7.32422	0.254404	7.32422	0.174943	7.32422	0.20586		
8.78906	0.222571	8.78906	0.17497	8.78906	0.203935		
10.2539	0.206777	10.2539	0.175002	10.2539	0.202311		
11.7188	0.210809	11.7188	0.175038	11.7188	0.200909		
13.1836	0.202519	13.1836	0.175079	13.1836	0.199676		
14.6484	0.217643	14.6484	0.175123	14.6484	0.198578		
16.1133	0.201894	16.1133	0.175172	16.1133	0.197589		
17.5781	0.213262	17.5781	0.175225	17.5781	0.19669		
19.043	0.217188	19.043	0.175281	19.043	0.195868		
20.5078	0.196762	20.5078	0.175341	20.5078	0.195111		
21.9727	0.189965	21.9727	0.175403	21.9727	0.194411		
23.4375	0.222157	23.4375	0.175469	23.4375	0.193759		
24.9023	0.2067	24.9023	0.175536	24.9023	0.193151		
26.3672	0.199054	26.3672	0.175606	26.3672	0.19258		
27.832	0.189338	27.832	0.175678	27.832	0.192043		
29.2969	0.190419	29.2969	0.17575	29.2969	0.191536		
30.7617	0.184929	30.7617	0.175824	30.7617	0.191056		
32.2266	0.190043	32.2266	0.175898	32.2266	0.1906		
33.6914	0.198514	33.6914	0.175972	33.6914	0.190165		
35.1563	0.185837	35.1563	0.176046	35.1563	0.189749		
36.6211	0.178968	36.6211	0.176118	36.6211	0.18935		
38.0859	0.195452	38.0859	0.176189	38.0859	0.188966		
39.5508	0.183831	39.5508	0.176258	39.5508	0.188595		
41.0156	0.180167	41.0156	0.176325	41.0156	0.188235		
42.4805	0.178131	42.4805	0.176388	42.4805	0.187885		
43.9453	0.157691	43.9453	0.176447	43.9453	0.187544		
45.4102	0.184165	45.4102	0.176501	45.4102	0.187209		
46.875	0.188681	46.875	0.17655	46.875	0.18688		
48.3398	0.175984	48.3398	0.176593	48.3398	0.186555		
49.8047	0.175727	49.8047	0.17663	49.8047	0.186233		
51.2695	0.193449	51.2695	0.176659	51.2695	0.185913		
52.7344	0.173868	52.7344	0.17668	52.7344	0.185593		
54.1992	0.195372	54.1992	0.176691	54.1992	0.185272		
55.6641	0.16617	55.6641	0.176693	55.6641	0.18495		
57.1289	0.181912	57.1289	0.176685	57.1289	0.184624		
58.5938	0.18186	58.5938	0.176664	58.5938	0.184295		
60.0586	0.179318	60.0586	0.176632	60.0586	0.18396		
61.5234	0.169007	61.5234	0.176586	61.5234	0.183619		
