"Magnitude of transfer function Hx(f)= X(f)/U(f)"							
"Measured"		"Fitted without creep"		"Fitted"		"Imported"	
"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"
5.12695	0.548229	5.12695	0.471105	5.12695	0.529789		
5.49316	0.55686	5.49316	0.471054	5.49316	0.528071		
5.85938	0.541186	5.85938	0.470998	5.85938	0.52645		
6.22559	0.543823	6.22559	0.470939	6.22559	0.524915		
6.5918	0.551815	6.5918	0.470876	6.5918	0.523455		
6.95801	0.550812	6.95801	0.470809	6.95801	0.522061		
7.32422	0.537907	7.32422	0.470737	7.32422	0.520726		
7.69043	0.535515	7.69043	0.470662	7.69043	0.519444		
8.05664	0.521055	8.05664	0.470582	8.05664	0.518209		
8.42285	0.543304	8.42285	0.470497	8.42285	0.517017		
8.78906	0.523951	8.78906	0.470408	8.78906	0.515863		
9.15527	0.532744	9.15527	0.470315	9.15527	0.514744		
9.52148	0.509835	9.52148	0.470217	9.52148	0.513657		
9.8877	0.508298	9.8877	0.470113	9.8877	0.512598		
10.2539	0.515485	10.2539	0.470005	10.2539	0.511566		
10.6201	0.534191	10.6201	0.469892	10.6201	0.510558		
10.9863	0.517116	10.9863	0.469774	10.9863	0.509572		
11.3525	0.529251	11.3525	0.46965	11.3525	0.508605		
11.7188	0.521118	11.7188	0.469521	11.7188	0.507657		
12.085	0.525712	12.085	0.469386	12.085	0.506726		
12.4512	0.523494	12.4512	0.469246	12.4512	0.50581		
12.8174	0.515559	12.8174	0.469099	12.8174	0.504909		
13.1836	0.513146	13.1836	0.468947	13.1836	0.504019		
13.5498	0.500896	13.5498	0.468789	13.5498	0.503142		
13.916	0.520668	13.916	0.468624	13.916	0.502275		
14.2822	0.506308	14.2822	0.468453	14.2822	0.501418		
14.6484	0.520828	14.6484	0.468275	14.6484	0.500569		
15.0146	0.495071	15.0146	0.468091	15.0146	0.499729		
15.3809	0.496986	15.3809	0.467899	15.3809	0.498895		
15.7471	0.505451	15.7471	0.467701	15.7471	0.498067		
16.1133	0.496566	16.1133	0.467495	16.1133	0.497245		
16.4795	0.500106	16.4795	0.467282	16.4795	0.496428		
16.8457	0.496173	16.8457	0.467062	16.8457	0.495615		
17.2119	0.4984	17.2119	0.466834	17.2119	0.494806		
17.5781	0.497434	17.5781	0.466597	17.5781	0.493999		
17.9443	0.488349	17.9443	0.466353	17.9443	0.493195		
